status,period_start,source_row_number,source_business_unit,source_label,canonical_metric,business_unit,show,channel,agent,cell_a1,value_raw,value_numeric,reason
inserted,2023-02-01,,b2b,,Revenue,b2b,SD,,,,32340,32340,
inserted,2023-03-01,,b2b,,Revenue,b2b,SD,,,,59400,59400,
inserted,2023-04-01,,b2b,,Revenue,b2b,SD,,,,97080,97080,
inserted,2023-05-01,,b2b,,Revenue,b2b,SD,,,,0,0,
inserted,2023-06-01,,b2b,,Revenue,b2b,SD,,,,140550,140550,
inserted,2023-08-01,,b2b,,Revenue,b2b,SD,,,,54450,54450,
inserted,2023-12-01,,b2b,,Revenue,b2b,SD,,,,129750,129750,
inserted,2020-01-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,1878300,1878300,
inserted,2020-02-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,1612100,1612100,
inserted,2020-03-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,1018700,1018700,
inserted,2020-04-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,271730,271730,
inserted,2020-05-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,296105,296105,
inserted,2020-06-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,200096,200096,
inserted,2020-07-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,484692,484692,
inserted,2020-08-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,529859,529859,
inserted,2020-09-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,714880,714880,
inserted,2020-10-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,829258,829258,
inserted,2020-11-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,653482,653482,
inserted,2020-12-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,924687,924687,
inserted,2021-01-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,866084,866084,
inserted,2021-02-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,1102833,1102833,
inserted,2021-03-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,1486330,1486330,
inserted,2021-04-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,985110,985110,
inserted,2021-05-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,1001832,1001832,
inserted,2021-06-01,,b2c_moscow,,Revenue,b2c_moscow,,,,,677252,677252,
