status,business_unit,period_start,canonical_metric,show_name,partner_name,channel_name,value_numeric,reason,rollup_source_system
inserted,b2b,2023-12-01,Costs - Salary variable,SD,,,19000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-12-01,Costs - Salary variable,,,,398000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2024-03-01,Costs - Salary variable,,,,140000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2024-04-01,Costs - Salary variable,,,,30920,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2024-05-01,Costs - Salary variable,,,,270000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2024-09-01,Costs - Salary variable,,,,176649,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2024-11-01,Costs - Salary variable,,,,855000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2024-12-01,Costs - Salary variable,,,,4280000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-01-01,Costs - Salary variable,,,,345000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-03-01,Costs - Salary variable,,,,728000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-04-01,Costs - Salary variable,,,,695760,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-08-01,Costs - Salary variable,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-09-01,Costs - Salary variable,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-10-01,Costs - Salary variable,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-11-01,Costs - Salary variable,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2025-12-01,Costs - Salary variable,,,,2900937,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2026-01-01,Costs - Salary variable,,,,70000,direct_from_rollup_view,derived_leaf_only_rollup
